category,model,lambda,avg_carbon_kg,AvgPCF@10,NDCG@10,Recall@10,MRR,n_users,pareto_optimal,carbon_reduction_pct,engagement_retention_pct
electronics,LightGCN,0.025,136.49936891126188,136.49936891126188,0.024848545865969702,0.04150158299412031,0.019667610719849526,110550,False,8.531530184932432,100.0419256928826
electronics,LightGCN,0.05,126.95954473668024,126.95954473668024,0.024868779733564918,0.04154681139755766,0.019681154113989935,110550,False,14.924183326948384,100.12338861185415
electronics,LightGCN,0.075,119.34793290492988,119.34793290492988,0.024870205161156504,0.04153776571687019,0.01968521031207598,110550,False,20.024737949505525,100.12912747971255
electronics,LightGCN,0.1,113.1605937375848,113.1605937375848,0.02486114176201508,0.04151062867480778,0.019681050016870913,110550,False,24.170884927165247,100.09263762198316
electronics,LightGCN,0.15,102.98966181854361,102.98966181854361,0.024877931620196546,0.04154681139755766,0.01969268735686646,110550,False,30.986444490907452,100.16023472620184
electronics,LightGCN,0.2,95.24311462360926,95.24311462360926,0.02488541616903211,0.041582994120307554,0.019693394499364646,110550,False,36.17741954026088,100.1903680258521
electronics,LightGCN,0.25,89.23197185472637,89.23197185472637,0.024901985457669754,0.04161917684305744,0.01970478774956387,110550,False,40.20549699801873,100.25707710217439
electronics,LightGCN,0.3,83.83015218579828,83.83015218579828,0.024886965216500526,0.04157394843962008,0.01969757633190469,110550,False,43.82526596306793,100.19660459569266
electronics,LightGCN,0.4,74.5966459370421,74.5966459370421,0.02488975360717335,0.041610131162369966,0.019690752586274975,110550,False,50.01265491832859,100.2078308450675
electronics,LightGCN,0.5,65.87140837982813,65.87140837982813,0.024877635136607484,0.041637268204432386,0.019668364526573483,110550,False,55.859452119641325,100.1590410632267
electronics,LightGCN,0.6,57.33402473758481,57.33402473758481,0.024858809594852285,0.041601085481682495,0.01965591953651655,110550,True,61.58036807851178,100.08324815930547
electronics,LightGCN,0.7,48.61739683844415,48.61739683844415,0.024789242886082478,0.04151062867480778,0.019594146870266272,110550,True,67.42139593264088,99.8031678863194
electronics,LightGCN,0.8,40.984765577928556,40.984765577928556,0.024563378857146306,0.04115784712799638,0.01940836222925775,110550,True,72.53603571178795,98.89382403491629
electronics,LightGCN,0.9,31.77214928982362,31.77214928982362,0.023942499785981855,0.04004522840343736,0.0189464258792617,110550,True,78.70942626727206,96.394122916117
electronics,LightGCN,0.91,30.641904346811398,30.641904346811398,0.023778719139755423,0.03979194934418815,0.01880985404866002,110550,True,79.46680541325739,95.73473096102653
electronics,LightGCN,0.92,29.337402969516067,29.337402969516067,0.023535240760067033,0.03941203075531434,0.018606035479169804,110550,True,80.34095410569876,94.7544705425701
electronics,LightGCN,0.93,27.820552405517873,27.820552405517873,0.023299706504894307,0.03898688376300317,0.01843264198488079,110550,True,81.35739836572486,93.8061937065244
electronics,LightGCN,0.94,26.052545043690643,26.052545043690643,0.022966634401896287,0.038534599728629576,0.018139109646572334,110550,True,82.5421432425546,92.46522290049693
electronics,LightGCN,0.95,23.880066665128897,23.880066665128897,0.02247202719439625,0.03769335142469471,0.017748329061761894,110550,True,83.99792486688244,90.47390084218492
electronics,LightGCN,0.96,21.245642671008593,21.245642671008593,0.021673089899216045,0.03657168701944821,0.01705666472830652,110550,True,85.76325706957515,87.2573252747932
electronics,LightGCN,0.97,17.781803471460876,17.781803471460876,0.020378494423128054,0.03476255088195387,0.015935657211776616,110550,True,88.08438187619643,82.04519635909247
electronics,LightGCN,0.98,12.727397190230661,12.727397190230661,0.017853668676512186,0.030791497060153775,0.013869742198100405,110550,True,91.47134851241837,71.88007719707568
electronics,LightGCN,0.99,4.794103957033016,4.794103957033016,0.01046685413990078,0.01879692446856626,0.007946099229681319,110550,True,96.78746241406255,42.14026244232827
electronics,LightGCN,1.0,0.14574987218453192,0.14574987218453192,0.0026900616494412548,0.005364088647670737,0.001883027144221174,110550,True,99.90233275149333,10.830370078566085
home_and_kitchen,BPR,0.0,236.49373469816564,236.49373469816564,0.0034765186541494434,0.006902134082978747,0.002456318865294921,91421,False,0.0,100.0
home_and_kitchen,BPR,0.025,231.05014623678366,231.05014623678366,0.0034758069765420865,0.006902134082978747,0.0024556373852487436,91421,False,2.3017897147802118,99.97952901513968
home_and_kitchen,BPR,0.05,225.88534797436034,225.88534797436034,0.0034693618834663897,0.006891195677142014,0.002449864337723801,91421,False,4.485694615692321,99.79413973014321
home_and_kitchen,BPR,0.075,220.85344811254527,220.85344811254527,0.003460111648392002,0.006869318865468547,0.002443496622897417,91421,False,6.613404200995811,99.5280621969953
home_and_kitchen,BPR,0.1,215.68713057620252,215.68713057620252,0.0034521862915623805,0.006858380459631813,0.0024359742985660443,91421,False,8.79795151804692,99.30009400185381
home_and_kitchen,BPR,0.15,205.25908413176404,205.25908413176404,0.003463906256823536,0.00688025727130528,0.002445267602890031,91421,False,13.2073902956736,99.63721186104226
home_and_kitchen,BPR,0.2,195.6517093467693,195.6517093467693,0.003470157398190367,0.006891195677142014,0.0024499858755664314,91421,False,17.269812836066276,99.81702224000773
home_and_kitchen,BPR,0.25,186.00804376790893,186.00804376790893,0.0034821933463708037,0.00691307248881548,0.0024587062157751605,91421,False,21.347580727536414,100.16322916071763
home_and_kitchen,BPR,0.3,176.06016666708962,176.06016666708962,0.0034715004594066926,0.006891195677142014,0.002450432961201822,91421,False,25.553982691425936,99.85565460042157
home_and_kitchen,BPR,0.4,155.57768080636836,155.57768080636836,0.0034640662729364374,0.006891195677142014,0.002440653505507314,91421,False,34.21488268814797,99.64181462975488
home_and_kitchen,BPR,0.5,133.46313697538858,133.46313697538858,0.003476648701456728,0.006924010894652213,0.0024482626425834223,91421,False,43.56588890368444,100.00374073376908
home_and_kitchen,BPR,0.6,108.79432449583796,108.79432449583796,0.003510765189281485,0.00701151814134608,0.0024685334184792736,91421,False,53.99695275873124,100.98508129939606
